"Artikel-Nr.","Bezeichnung","EAN-Nr.","Lagerbestand","ME","MwSt.-satz"
594,"Adidas Pure Game EDT Vapo 50ml","3607345215150",9.00,"Stck.",19.00
595,"Penaten SOS Creme 75ml","3574661264974",18.00,"Stck.",19.00
599,"Penaten Creme 25ml","3574661491066",81.00,"Stck.",19.00
602,"Adidas Victory League After Shave 100ml","3412241230158",3.00,"Stck.",19.00
605,"Adidas Victory League Deo Spray 150ml","3607345266305",17.00,"Stck.",19.00
606,"Adidas Victory League Dusche 250ml","3607340726125",132.00,"Stck.",19.00
607,"Adidas Victory League EDT Vapo 50ml","3412241210242",3.00,"Stck.",19.00
627,"Puma EDT Vapo Push The Heat 50ml","3600550934571",3.00,"Stck.",19.00
634,"BW Babybürste natur blau","",61.00,"Stck.",19.00
637,"BW Babybürste natur rosa","",72.00,"Stck.",19.00
638,"BW Babybürste natur weiß","",34.00,"Stck.",19.00
640,"Golddachs Bart Bartwichse 16ml VK16.95","4011648050001",12.00,"Stck.",19.00
642,"Golddachs Bart Kühlendes Gel 30ml VK19.95","4045386531713",6.00,"Stck.",19.00
643,"Golddachs Bart Pflege Tonic 100ml VK19.95","4045386131319",2.00,"Stck.",19.00
644,"Golddachs Bart Pflegeöl 20ml VK19.95","4045386500238",8.00,"Stck.",19.00
645,"Golddachs Bart Rasiercreme 100ml VK19.95","4045386531911",6.00,"Stck.",19.00
648,"Q Tips Wattestäbchen Box 206er","4000576027308",152.00,"Stck.",19.00
649,"Q Tips BIO Wattestäbchen Box 160er","4000576016463",28.00,"Stck.",19.00
657,"Golddachs Bart Rasieröl 30ml VK19.95","4045386531614",7.00,"Stck.",19.00
658,"Golddachs Bart Wash&Shave 100ml VK19.95","4045386531812",6.00,"Stck.",19.00
659,"Golddachs Rasierseife Dose Aloe Vera 60g VK14.95","4045386535414",6.00,"Stck.",19.00
660,"Golddachs Rasierseife Dose Classic 60g VK14.95","4011648131496",3.00,"Stck.",19.00
661,"Golddachs Rasierseife Dose Sandelholz 60g VK14.95","4045386131692",3.00,"Stck.",19.00
663,"Golddachs Rasierseife Dose Sport 60g VK14.95","4045386131685",3.00,"Stck.",19.00
671,"BW Babygarnitur natur pink","",30.00,"Stck.",19.00
685,"Weleda Calendula Babycreme 75ml","4001638098311",7.00,"Stck.",19.00
705,"S.Oliver Man After Shave 50ml","4011700821044",12.00,"Stck.",19.00
706,"S.Oliver Man Deo Spray 150ml","4011700821129",10.00,"Stck.",19.00
707,"S.Oliver Man Deo Stick 75ml","4011700821143",4.00,"Stck.",19.00
708,"S.Oliver Man Dusche 200ml","4011700821228",6.00,"Stck.",19.00
709,"S.Oliver Man EDT Vapo 50ml","4011700821013",10.00,"Stck.",19.00
711,"Bübchen Calendula Milk 200ml","7613034727237",28.00,"Stck.",19.00
712,"Bübchen Calendula Waschlotion&Shampoo 230ml","7613034698773",40.00,"Stck.",19.00
715,"Bübchen Calendula Wasch+Duschcreme 230ml","7613034698797",11.00,"Stck.",19.00
719,"Bübchen Waschgel 400ml","7613034749581",79.00,"Stck.",19.00
720,"S.Oliver Man EDT Vapo 30ml","4011700821006",7.00,"Stck.",19.00
728,"Bübchen Mama Pflege Lotion 200ml","7613033349423",14.00,"Stck.",19.00
730,"Bübchen Shampoo&Shower Sanfte Lieblinge 230ml","7613035058248",13.00,"Stck.",19.00
732,"Bübchen P.Rosalea Shampoo 2in1 230ml","7613035058446",212.00,"Stck.",19.00
733,"Bübchen Sonne Sensitive Lotion F50+ 100ml","7613033696534",205.00,"Stck.",19.00
734,"Bübchen Shampoo&Shower Sportsfreund 230ml","7613035058460",46.00,"Stck.",19.00
737,"Bübchen Wind&Wetter Creme Tb.75ml","7613034698698",85.00,"Stck.",19.00
740,"Bübchen Sonne Sensitive Milch F30 150ml","40055695",122.00,"Stck.",19.00
741,"Bübchen Shampoo&Shower 3in1 230ml","7613035058224",103.00,"Stck.",19.00
742,"Bübchen Calendula Wundschutz Creme 75ml","7613037519174",8.00,"Stck.",19.00
744,"Bübchen Öl 400ml","7613034698414",8.00,"Stck.",19.00
745,"Bübchen Shampoo&Shower Weltraum Star 230ml","7613036405096",99.00,"Stck.",19.00
746,"Bübchen Calendula Gesichts Creme 75ml","7613037517019",49.00,"Stck.",19.00
747,"Bübchen Calendula Pflege Öl 200ml","7613037517491",34.00,"Stck.",19.00
748,"Bübchen Wundschutzcreme 150ml","7613034749420",11.00,"Stck.",19.00
749,"Bübchen Bad&Shampoo 400ml","7613035797659",13.00,"Stck.",19.00
750,"Bübchen Wundschutzcreme 500ml","4053800002459",37.00,"Stck.",19.00
751,"Bübchen Spez.Wundschutz Creme 75ml","7613034698711",17.00,"Stck.",19.00
752,"Bübchen Dusche Happy Berry 230ml","7613036997645",32.00,"Stck.",19.00
753,"Bübchen Calendula Pflegebad 250ml","7613034698759",6.00,"Stck.",19.00
755,"Bübchen Baby Bad 1000ml","7613034749604",11.00,"Stck.",19.00
757,"Bübchen Shampoo 400ml","7613034698438",17.00,"Stck.",19.00
759,"Bübchen Pflege Creme 75ml","40056371",78.00,"Stck.",19.00
760,"Bübchen Baby Shampoo 200ml","7613031507665",17.00,"Stck.",19.00
761,"Bübchen Milk 400ml","7613034698650",64.00,"Stck.",19.00
766,"Bübchen Wasch&Duschcreme Aloesanft 230ml","7613034692184",5.00,"Stck.",19.00
